,IC_h,IC_l,ILB,Labels,Mod1,Mod2,Mod3
0,0.9985,0.9965,0.9925,0,0.97,0.991,0.988
1,0.9675,0.9715,0.9825,1,0.96,0.954,0.9825
2,0.9995,0.998,0.993,2,0.974,0.9705,0.9905
3,0.995,0.9925,0.982,3,0.9615,0.969,0.9765
4,0.995,0.991,0.9855,4,0.96,0.97,0.9875
5,0.986,0.9675,0.988,5,0.959,0.975,0.986
6,0.997,0.9945,0.974,6,0.962,0.94,0.987
7,0.994,0.991,0.986,7,0.9625,0.967,0.987
8,0.997,0.9945,0.981,8,0.96,0.9785,0.9805
9,0.994,0.983,0.974,9,0.961,0.9375,0.984
